model_name,valid_data,accuracy_score,f1_score
svc,train,0.9688385269121812,0.9717146731649396
lr,train,0.98356940509915,0.9850919789697709
knn,train,0.9546742209631728,0.9583454854970812
gbc,train,0.9818696883852692,0.9831406738117836
xgb,train,0.9903682719546744,0.9911778430203584
hpt_xgb,train,0.9920679886685552,0.9927071845883068
hpt_xgb_150,train,0.9909348441926346,0.9916876712128896
hpt_xgb_50,train,0.9841359773371104,0.9842242137158465
hpt_xgb_top,train,0.9937677053824364,0.9942358230405132
test_hpt_xgb_top,test,0.9864038069340584,0.9868201239902492
all_hpt_xgb,test,0.9952413324269204,0.9956656148314488
all_hpt_depth_xgb,test,0.9870836165873556,0.988079161009536
walkingup_xgb,all,0.99909338168631,0.9981723886532343
walkingup_top,all,0.99909338168631,0.9981723886532343
